Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",0,4.58,Scholastic Inc.,Mass Market Paperback,547,2004,1999,,2026/02/20,currently-reading,currently-reading (#3),currently-reading,,,,1,0
228021836,A Case of the Claws: Classic Tales of Feline Crime (Vintage Murders),Catherine Aird,"Aird, Catherine","Edmund Crispin, Patricia Highsmith, Ellis Peters","=""1805226096""","=""9781805226093""",0,3.65,Profile Books,Kindle Edition,96,2025,,,2026/02/20,to-read,to-read (#88),to-read,,,,0,0
1715,Metamorphoses,Ovid,"Ovid, Ovid","David Raeburn, Denis Feeney","=""014044789X""","=""9780140447897""",0,4.10,Penguin,Paperback,723,2004,8,,2026/02/20,to-read,to-read (#87),to-read,,,,0,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",3,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,2026/02/16,2026/02/03,,,read,,,,1,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,"=""0062315005""","=""9780062315007""",4,3.92,HarperOne,Paperback,182,2014,1988,2026/02/10,2026/02/09,,,read,,,,1,0
25246592,The Man Who Spoke Snakish,Andrus Kivirähk,"Kivirähk, Andrus",Christopher Moseley,"=""0802124127""","=""9780802124128""",0,4.20,"Grove Press, Black Cat",Paperback,442,2015,2007,,2026/02/05,to-read,to-read (#86),to-read,,,,0,0
56465,The Gift of Fear: Survival Signals That Protect Us from Violence,Gavin de Becker,"Becker, Gavin de",,"=""0747538352""","=""9780747538356""",0,4.18,Bloomsbury Publishing PLC,Paperback,352,2000,1997,,2025/11/25,currently-reading,currently-reading (#2),currently-reading,,,,1,0
53287484,"Midnight Sun (The Twilight Saga, #5)",Stephenie Meyer,"Meyer, Stephenie",,"=""031670704X""","=""9780316707046""",2,3.75,"Little, Brown Books for Young Readers",Hardcover,662,2020,2020,2026/02/05,2025/12/10,,,read,I guess if you're a HUGE twilight fan its pretty nice to read some more 'behind the scenes' conversations but it was too long and boring to me ,,,1,0
8933944,"Harry Potter: The Prequel (Harry Potter, #0.5)",J.K. Rowling,"Rowling, J.K.",,"=""1156923441""","=""9781156923443""",3,4.08,Books LLC,ebook,3,2008,2008,2026/02/03,2026/02/03,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""0439554934""","=""9780439554930""",4,4.47,Scholastic Inc,Hardcover,309,2003,1997,2026/02/01,2026/01/25,,,read,,,,1,0
110384,"Romancing Mister Bridgerton (Bridgertons, #4)",Julia Quinn,"Quinn, Julia",,"=""0380820846""","=""9780380820849""",0,3.88,Avon,Mass Market Paperback,370,2002,2002,,2026/01/26,currently-reading,currently-reading (#1),currently-reading,,,,1,0
9408584,"An Offer From a Gentleman (Bridgertons, #3)",Julia Quinn,"Quinn, Julia",,"=""""","=""""",3,3.94,Avon,Paperback,390,2009,2001,2026/01/26,2026/01/21,,,read,,,,1,0
861326,"The Viscount Who Loved Me (Bridgertons, #2)",Julia Quinn,"Quinn, Julia",,"=""""","=""""",3,3.99,Avon,Mass Market Paperback,480,2006,2000,2026/01/21,2026/01/19,,,read,,,,1,0
60556912,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,"=""1803144378""","=""9781803144375""",0,4.27,Bookouture,Kindle Edition,329,2022,2022,,2026/01/20,to-read,to-read (#85),to-read,,,,0,0
110391,"The Duke and I (Bridgertons, #1)",Julia Quinn,"Quinn, Julia",,"=""0380800829""","=""9780380800827""",4,3.80,Avon Books,Mass Market Paperback,384,2006,2000,2026/01/19,2026/01/19,,,read,,,,1,0
117833,The Master and Margarita,Mikhail Bulgakov,"Bulgakov, Mikhail","Diana Lewis Burgin, Katherine Tiernan O'Connor, Ellendea Proffer, Hans Fronius, Михаил Булгаков","=""0679760806""","=""9780679760801""",0,4.28,Vintage International,Paperback,372,1996,1967,,2026/01/09,to-read,to-read (#84),to-read,,,,0,0
221349385,A Heart for Christmas: My Advent Novel,Sophie Jomain,"Jomain, Sophie",Manon Bucciarelli,"=""2898245704""","=""9782898245701""",3,2.88,Auzou Publishing LTD,Paperback,388,,2024,2025/12/25,2025/12/15,,,read,,,,1,0
213960819,"Three Bags Full (Sheep Detective Story, #1)",Leonie Swann,"Swann, Leonie","Anthea Bell, A.J. Finn","=""1641296828""","=""9781641296823""",0,3.61,Soho Crime,Paperback,384,2025,2005,,2025/12/22,to-read,to-read (#83),to-read,,,,0,0
1162543,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,"Meyer, Stephenie",,"=""031606792X""","=""9780316067928""",4,3.76,"Little, Brown and Company",Hardcover,756,2008,2008,2011/01/01,2024/11/25,,,read,Secretly had too much fun met deze serie opnieuw te lezen ,,,2,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",3,4.32,Avery,Kindle Edition,319,2018,2018,2025/12/08,2025/12/07,,,read,,,,1,0
428263,"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316160202""","=""9780316160209""",3,3.74,"Little, Brown and Company",Hardcover,629,2007,2007,2011/01/01,2024/11/25,,,read,,,,2,0
60049848,She and Her Cat,Makoto Shinkai,"Shinkai, Makoto","Naruki Nagakawa, Ginny Tapley Takemori","=""085752822X""","=""9780857528223""",3,3.87,Doubleday,Hardcover,156,2022,2013,2023/03/05,2023/02/08,,,read,,,,1,0
29626641,"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,"Hoover, Colleen",,"=""1471156265""","=""9781471156267""",1,4.08,Simon & Schuster UK,Paperback,378,2016,2016,2023/08/14,2023/08/13,,,read,,,,1,0
